symbol,timeframe,type,entry_time,entry_price,exit_time,exit_price,reason,pnl,duration
WLD/USDT,1d,SHORT,2025-01-18 00:00:00,2.145,2025-01-19 00:00:00,1.8620462945513119,TP1+TP2,0.111542745607902,1
WLD/USDT,1d,SHORT,2025-08-24 00:00:00,0.971,2025-08-25 00:00:00,0.8952033369162841,TP1+TP2,0.06516862716482082,1
POL/USDT,1d,SHORT,2025-11-11 00:00:00,0.1712,2025-11-14 00:00:00,0.15086447917022403,TP2,0.09718442491879638,3
APT/USDT,1d,LONG,2023-12-12 00:00:00,9.1114,2023-12-13 00:00:00,9.075686824896096,TP2,-0.003919614450458124,1
APT/USDT,1d,SHORT,2025-01-16 00:00:00,9.24,2025-01-17 00:00:00,9.51,SL_CANDLE,-0.029220779220779175,1
APT/USDT,1d,SHORT,2025-01-19 00:00:00,8.5,2025-01-21 00:00:00,8.160379691000578,TP2,0.03995533047052019,2
APT/USDT,1d,SHORT,2025-02-24 00:00:00,5.41,2025-02-25 00:00:00,5.38253037613775,TP2,0.005077564484704219,1
APT/USDT,1d,SHORT,2025-08-25 00:00:00,4.254,2025-09-01 00:00:00,4.261333333333333,TP2,-0.0017238677323303747,7
ALGO/USDT,1d,SHORT,2024-05-23 00:00:00,0.1817,2024-05-24 00:00:00,0.1878,SL_CANDLE,-0.03357182168409463,1
ALGO/USDT,1d,LONG,2025-01-20 00:00:00,0.4302,2025-01-22 00:00:00,0.4302,SL_BE,0.008758330569089227,2
ALGO/USDT,1d,SHORT,2025-06-12 00:00:00,0.1805,2025-06-13 00:00:00,0.17191390609134727,TP2,0.047568387305555265,1
ARB/USDT,1d,LONG,2023-12-12 00:00:00,1.2521,2023-12-13 00:00:00,1.228843402835506,TP2,-0.018574073288470584,1
ARB/USDT,1d,LONG,2024-03-13 00:00:00,2.1152,2024-03-14 00:00:00,2.0174,SL_CANDLE,-0.04623676248108941,1
ARB/USDT,1d,SHORT,2025-01-18 00:00:00,0.7671,2025-01-27 00:00:00,0.6189192772767993,TP2,0.16000094345064608,9
ARB/USDT,1d,LONG,2025-08-20 00:00:00,0.5135,2025-08-22 00:00:00,0.6000162001107969,TP1+TP2,0.14144546949473166,2
ARB/USDT,1d,LONG,2025-09-17 00:00:00,0.5204,2025-09-19 00:00:00,0.4849,SL_CANDLE,-0.0682167563412759,2
ARB/USDT,1d,SHORT,2025-10-14 00:00:00,0.3433,2025-11-01 00:00:00,0.30306666666666665,TP2,0.1307456615982852,18
QNT/USDT,1d,LONG,2023-12-22 00:00:00,117.2,2023-12-24 00:00:00,128.66304704535258,TP2,0.09780756864635308,2
QNT/USDT,1d,SHORT,2024-05-21 00:00:00,97.8,2024-05-23 00:00:00,92.571210390612,TP2,0.04562156287300301,2
QNT/USDT,1d,LONG,2025-05-18 00:00:00,96.81,2025-05-19 00:00:00,91.23,SL_CANDLE,-0.05763867369073441,1
VET/USDT,1d,LONG,2024-11-15 00:00:00,0.02635,2024-11-16 00:00:00,0.031725114379692713,TP1+TP2,0.1752128679029233,1
FIL/USDT,1d,LONG,2023-12-14 00:00:00,4.86,2023-12-15 00:00:00,4.806,SL_VWAP,-0.011111111111111165,1
FIL/USDT,1d,LONG,2023-12-16 00:00:00,5.696,2023-12-17 00:00:00,5.760012909461015,TP2,0.011238221464363572,1
FIL/USDT,1d,SHORT,2025-01-19 00:00:00,4.98,2025-01-27 00:00:00,4.5960372757076104,TP2,0.07710094865309035,8
FIL/USDT,1d,SHORT,2025-08-24 00:00:00,2.425,2025-08-25 00:00:00,2.2151684233691475,TP1+TP2,0.07390918849667184,1
ATOM/USDT,1d,LONG,2023-12-12 00:00:00,11.744,2023-12-13 00:00:00,11.910006597306854,TP2,0.014135439143975994,1
ATOM/USDT,1d,LONG,2023-12-21 00:00:00,11.402,2023-12-23 00:00:00,11.402,SL_BE,0.0006620315139191069,2
ATOM/USDT,1d,SHORT,2024-05-22 00:00:00,8.561,2024-05-23 00:00:00,8.12617135071181,TP1+TP2,0.04245042101181527,1
ATOM/USDT,1d,SHORT,2024-05-29 00:00:00,8.637,2024-06-01 00:00:00,8.320333333333332,TP2,0.0340890985495411,3
ATOM/USDT,1d,SHORT,2025-01-18 00:00:00,6.595,2025-01-19 00:00:00,5.904518683475365,TP1+TP2,0.08998179297917194,1
ATOM/USDT,1d,SHORT,2025-02-24 00:00:00,4.358,2025-02-25 00:00:00,4.154724070645954,TP2,0.04664431605186917,1
ATOM/USDT,1d,LONG,2025-08-22 00:00:00,4.819,2025-08-23 00:00:00,4.9208220221531755,TP2,0.021129284530644447,1
FDUSD/USDT,1d,LONG,2024-04-12 00:00:00,1.0026,2024-04-13 00:00:00,1.0003,SL_CANDLE,-0.0022940355076800007,1
FDUSD/USDT,1d,SHORT,2024-07-16 00:00:00,0.9999,2024-07-19 00:00:00,0.9999,SL_BE,5.75467066987877e-05,3
FDUSD/USDT,1d,LONG,2025-03-27 00:00:00,1.0001,2025-03-28 00:00:00,0.9983,SL_CANDLE,-0.001799820017998224,1
FDUSD/USDT,1d,SHORT,2025-07-23 00:00:00,0.9977,2025-07-24 00:00:00,0.9974459117269994,TP2,0.00025467402325414783,1
FDUSD/USDT,1d,LONG,2025-08-12 00:00:00,0.9985,2025-08-13 00:00:00,0.9985040873207297,TP2,4.093460921032561e-06,1
FDUSD/USDT,1d,SHORT,2025-08-14 00:00:00,0.9974,2025-08-15 00:00:00,0.9972610218347754,TP2,0.00013934045039559664,1
SEI/USDT,1d,SHORT,2025-01-18 00:00:00,0.3935,2025-01-27 00:00:00,0.3055630366242469,TP2,0.18190952224676765,9
CAKE/USDT,1d,LONG,2023-12-12 00:00:00,2.505,2023-12-13 00:00:00,2.422,SL_CANDLE,-0.03313373253493004,1
BONK/USDT,1d,SHORT,2025-03-20 00:00:00,1.165e-05,2025-03-21 00:00:00,1.185e-05,SL_VWAP,-0.017167381974248906,1
JUP/USDT,1d,LONG,2025-01-18 00:00:00,1.1458,2025-01-19 00:00:00,1.1781889109650496,TP2,0.028267508260647323,1
JUP/USDT,1d,SHORT,2025-08-25 00:00:00,0.459,2025-08-28 00:00:00,0.5298,SL_CANDLE,-0.15424836601307196,3
NEXO/USDT,1d,LONG,2023-12-20 00:00:00,0.843,2023-12-22 00:00:00,0.9013064547489709,TP2,0.0580042915120499,2
NEXO/USDT,1d,LONG,2025-05-18 00:00:00,1.294,2025-05-19 00:00:00,1.25,SL_CANDLE,-0.03400309119010822,1
DASH/USDT,1d,SHORT,2025-02-24 00:00:00,24.13,2025-02-25 00:00:00,22.98397478039443,TP2,0.047493792772713185,1
OP/USDT,1d,LONG,2023-12-18 00:00:00,2.237,2023-12-20 00:00:00,2.237,SL_BE,0.004213125634822932,2
OP/USDT,1d,SHORT,2025-01-16 00:00:00,1.838,2025-01-17 00:00:00,1.917,SL_CANDLE,-0.0429815016322089,1
OP/USDT,1d,SHORT,2025-01-18 00:00:00,1.827,2025-01-20 00:00:00,1.827,SL_BE,0.010930107667875291,2
OP/USDT,1d,SHORT,2025-02-28 00:00:00,1.08,2025-03-01 00:00:00,1.056,TP1+TP2,0.02222222222222224,1
OP/USDT,1d,SHORT,2025-05-29 00:00:00,0.732,2025-05-31 00:00:00,0.598830060617004,TP2,0.15311506574159728,2
IMX/USDT,1d,SHORT,2025-01-18 00:00:00,1.311,2025-01-20 00:00:00,1.1198049140210244,TP2,0.1250499196746158,2
IMX/USDT,1d,SHORT,2025-02-13 00:00:00,0.8,2025-02-17 00:00:00,0.85,SL_CANDLE,-0.06249999999999992,4
IMX/USDT,1d,SHORT,2025-06-11 00:00:00,0.526,2025-06-12 00:00:00,0.4836479486794003,TP1+TP2,0.06883934776040569,1
IMX/USDT,1d,SHORT,2025-06-30 00:00:00,0.444,2025-07-01 00:00:00,0.43,TP1+TP2,0.031531531531531556,1
IMX/USDT,1d,LONG,2025-09-24 00:00:00,0.73,2025-09-25 00:00:00,0.686,SL_VWAP,-0.06027397260273963,1
IMX/USDT,1d,SHORT,2025-11-11 00:00:00,0.425,2025-11-13 00:00:00,0.391290431814958,TP2,0.06254135981554891,2
FET/USDT,1d,LONG,2023-11-15 00:00:00,0.4458,2023-11-16 00:00:00,0.44885770357627225,TP2,0.00685891336086199,1
FET/USDT,1d,LONG,2024-05-20 00:00:00,2.4251,2024-05-21 00:00:00,2.5116803566968566,TP2,0.0357017676371517,1
FET/USDT,1d,SHORT,2024-06-25 00:00:00,1.587,2024-06-26 00:00:00,1.715,SL_CANDLE,-0.08065532451165729,1
FET/USDT,1d,SHORT,2024-06-27 00:00:00,1.546,2024-07-01 00:00:00,1.3613333333333335,TP2,0.11416641858937626,4
FET/USDT,1d,SHORT,2024-08-11 00:00:00,0.815,2024-08-13 00:00:00,0.878,SL_VWAP,-0.07730061349693258,2
FET/USDT,1d,SHORT,2024-08-20 00:00:00,0.872,2024-08-21 00:00:00,0.927,SL_CANDLE,-0.0630733944954129,1
FET/USDT,1d,SHORT,2025-01-18 00:00:00,1.31,2025-01-20 00:00:00,1.1275763756478427,TP2,0.1160550235887929,2
FET/USDT,1d,SHORT,2025-11-21 00:00:00,0.2953,2025-12-01 00:00:00,0.23756666666666668,TP2,0.17096177785653346,10
INJ/USDT,1d,LONG,2024-06-12 00:00:00,31.24,2024-06-13 00:00:00,31.19001636651885,TP2,-0.0015999882676423704,1
INJ/USDT,1d,SHORT,2025-01-19 00:00:00,20.69,2025-01-21 00:00:00,22.8,SL_VWAP,-0.10198163363943931,2
INJ/USDT,1d,LONG,2025-08-22 00:00:00,14.9,2025-08-25 00:00:00,12.92,SL_CANDLE,-0.13288590604026848,3
CRV/USDT,1d,LONG,2023-12-17 00:00:00,0.6579,2023-12-18 00:00:00,0.6216,SL_CANDLE,-0.05517555859553123,1
CRV/USDT,1d,SHORT,2024-01-12 00:00:00,0.5509,2024-01-14 00:00:00,0.5509,SL_BE,0.007592955043625359,2
CRV/USDT,1d,SHORT,2024-10-31 00:00:00,0.2529,2024-11-01 00:00:00,0.2505,TP1+TP2,0.009489916963226623,1
CRV/USDT,1d,SHORT,2025-10-14 00:00:00,0.5923,2025-10-15 00:00:00,0.6362,SL_CANDLE,-0.0741178456863075,1
STX/USDT,1d,SHORT,2024-05-16 00:00:00,1.9799,2024-05-20 00:00:00,2.1395,SL_VWAP,-0.08061013182483961,4
STX/USDT,1d,SHORT,2024-10-25 00:00:00,1.652,2024-10-26 00:00:00,1.6455411659156887,TP2,0.0039097058621738795,1
STX/USDT,1d,LONG,2024-11-21 00:00:00,1.921,2024-11-24 00:00:00,1.921,SL_BE,0.016234816057385745,3
STX/USDT,1d,SHORT,2025-01-18 00:00:00,1.577,2025-01-19 00:00:00,1.3856116380571708,TP1+TP2,0.10514675137778738,1
STRK/USDT,1d,SHORT,2025-06-12 00:00:00,0.1262,2025-06-13 00:00:00,0.11860253515673451,TP2,0.060201781642357344,1
XTZ/USDT,1d,LONG,2023-12-12 00:00:00,0.93,2023-12-13 00:00:00,0.871,SL_CANDLE,-0.06344086021505381,1
XTZ/USDT,1d,SHORT,2024-07-29 00:00:00,0.756,2024-08-01 00:00:00,0.7183333333333333,TP1+TP2,0.049823633156966585,3
XTZ/USDT,1d,LONG,2025-08-12 00:00:00,0.866,2025-08-14 00:00:00,0.8344,SL_VWAP,-0.03648960739030019,2
XTZ/USDT,1d,SHORT,2025-10-14 00:00:00,0.6285,2025-11-01 00:00:00,0.5801333333333334,TP2,0.07456541462395558,18
LDO/USDT,1d,LONG,2024-06-24 00:00:00,2.384,2024-06-26 00:00:00,2.5049603416854636,TP2,0.050738398357996504,2
LDO/USDT,1d,SHORT,2024-10-31 00:00:00,1.04,2024-11-01 00:00:00,1.0386666666666668,TP1+TP2,0.0012820512820511409,1
LDO/USDT,1d,LONG,2024-12-12 00:00:00,2.252,2024-12-13 00:00:00,2.3518863661843,TP2,0.04435451429143,1
LDO/USDT,1d,LONG,2025-08-22 00:00:00,1.5399,2025-08-25 00:00:00,1.2671,SL_CANDLE,-0.17715436067277104,3
LDO/USDT,1d,SHORT,2025-10-14 00:00:00,0.9733,2025-10-15 00:00:00,1.0301,SL_CANDLE,-0.05835816295078594,1
TUSD/USDT,1d,SHORT,2023-12-11 00:00:00,0.9975,2023-12-13 00:00:00,0.999,SL_CANDLE,-0.0015037593984961863,2
TUSD/USDT,1d,LONG,2023-12-27 00:00:00,1.0002,2023-12-29 00:00:00,1.0002,SL_BE,0.00016391621922728553,2
TUSD/USDT,1d,SHORT,2024-02-15 00:00:00,0.9803,2024-02-16 00:00:00,0.9783806104395956,TP2,0.0019579613999840696,1
TUSD/USDT,1d,LONG,2024-02-29 00:00:00,0.9997,2024-03-01 00:00:00,0.9996,TP2,-0.00010003000900268979,1
TUSD/USDT,1d,SHORT,2024-09-15 00:00:00,0.9982,2024-09-16 00:00:00,0.9982750402545573,TP2,-7.517557058434217e-05,1
TIA/USDT,1d,SHORT,2024-05-23 00:00:00,9.21,2024-05-26 00:00:00,9.21,SL_BE,0.005245942167254059,3
TIA/USDT,1d,SHORT,2024-09-11 00:00:00,4.112,2024-09-12 00:00:00,4.248,SL_CANDLE,-0.03307392996108952,1
TIA/USDT,1d,SHORT,2025-04-13 00:00:00,2.418,2025-04-18 00:00:00,2.418,SL_BE,0.006565867099765308,5
TIA/USDT,1d,SHORT,2025-05-23 00:00:00,2.486,2025-05-30 00:00:00,2.2311897118484922,TP2,0.10249810464662427,7
TIA/USDT,1d,SHORT,2025-06-12 00:00:00,1.927,2025-06-13 00:00:00,1.7877021863209992,TP2,0.07228739682356038,1
TIA/USDT,1d,SHORT,2025-08-25 00:00:00,1.612,2025-09-01 00:00:00,1.569,TP2,0.026674937965260638,7
TIA/USDT,1d,SHORT,2025-10-14 00:00:00,1.162,2025-11-01 00:00:00,0.948,TP2,0.19460644786733214,18
GRT/USDT,1d,SHORT,2024-07-11 00:00:00,0.1812,2024-07-12 00:00:00,0.1855,SL_VWAP,-0.023730684326710806,1
GRT/USDT,1d,SHORT,2024-09-11 00:00:00,0.1374,2024-09-12 00:00:00,0.1418,SL_CANDLE,-0.032023289665211174,1
GRT/USDT,1d,SHORT,2025-01-19 00:00:00,0.1973,2025-01-27 00:00:00,0.1731657078629514,TP2,0.1223228187382088,8
